node_index,latitude,longitude,elevation,temperature_2m,relative_humidity_2m,apparent_temperature,wind_speed_10m,wind_direction_10m,wind_gusts_10m,precipitation,rain,cloud_cover,pressure_msl,surface_pressure
6601,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6602,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6603,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6604,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6605,30.75,76.75,340,29.5,67,34.42073441,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,961.809021
6606,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6607,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6608,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6609,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6610,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6611,30.75,76.75,339,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,961.9227905
6612,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6613,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6614,30.75,76.75,339,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,961.9227905
6615,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6616,30.75,76.75,339,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,961.9227905
6617,30.75,76.75,339,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,961.9227905
6618,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6619,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6620,30.75,76.75,339,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,961.9227905
6621,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6622,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6623,30.75,76.75,339,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,961.9227905
6624,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6625,30.75,76.75,339,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,961.9227905
6626,30.75,76.75,339,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,961.9227905
6627,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6628,30.75,76.75,339,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,961.9227905
6629,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6630,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6631,30.75,76.75,339,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,961.9227905
6632,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6633,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6634,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
